t (s),FA (mol/s),FB (mol/s),FC (mol/s),FP (mol/s),XA,θA,θB,θC,θP,θV
1.0000000000000001e-7,2.778654778142771,5.557309556285547,2.990967951573889e-15,0.0,0.9999972213452218,0.009999674854042018,0.01999934971394461,5.860578427393554e-12,0.0,0.9700009754261528
1.1758495540521568e-7,2.79384848794727,5.587696975894547,4.888982752480718e-15,0.0,0.9999972061515121,0.01175815698008858,0.023516313969705136,9.527979756738087e-12,0.0,0.9647255290406784
1.382622173764656e-7,2.811928050175782,5.62385610035157,7.998407668137836e-15,0.0,0.9999971880719498,0.013825865902342725,0.027651731820175766,1.549031808978226e-11,0.0,0.9585224022619913
1.6257556664437941e-7,2.8334880944285628,5.6669761888571415,1.31062975541206e-14,0.0,0.9999971665119056,0.016257178439110266,0.032514356903404214,2.5183676417131954e-11,0.0,0.9512284646323019
1.9116440753857023e-7,2.8592667258528577,5.7185334517057385,2.1498244308606173e-14,0.0,0.9999971407332742,0.019116033326044158,0.0382320666930311,4.094277724677285e-11,0.0,0.9426518999399819
2.2478058335487253e-7,2.890184979343532,5.780369958687099,3.53296107937345e-14,0.0,0.9999971098150207,0.02247761259058348,0.04495522524773028,6.656331157043961e-11,0.0,0.9325671620951229
2.6430814869741053e-7,2.9274053841623027,5.854810768324658,5.819194239613292e-14,0.0,0.9999970725946158,0.026430318560100422,0.05286063722841701,1.0821614309674585e-10,0.0,0.9207090441032664
3.107866187782013e-7,2.972418597991571,5.944837195983242,9.60348732111913e-14,0.0,0.999997027581402,0.031078098481335505,0.062156197138604596,1.75933582486069e-10,0.0,0.9067657042041263
3.654383070957256e-7,3.0271501308628435,6.05430026172585,1.5900007938912062e-13,0.0,0.9999969728498691,0.0365431778587751,0.07308635600357592,2.860256883237803e-10,0.0,0.8903704658516233
4.297004704320841e-7,3.0941405456449043,6.188281091290076,2.6422988603505456e-13,0.0,0.9999969058594543,0.042969274356770726,0.08593854917855004,4.650085698314272e-10,0.0,0.8710921759996707
5.05263106533568e-7,3.1768058588804173,6.3536117177612805,4.4105452196482943e-13,0.0,0.9999968231941411,0.05052537673996827,0.10105075423592737,7.559908087479486e-10,0.0,0.8484238682681136
5.941133984965034e-7,3.2798418316700575,6.55968366334085,7.402970940725426e-13,0.0,0.9999967201581683,0.059410188157670595,0.11882037754439735,1.2290561440697698e-9,0.0,0.8217694330688758
6.985879746785247e-7,3.409879758355203,6.819759516711653,1.2514009883136829e-12,0.0,0.9999965901202417,0.0698573505213581,0.13971470304085926,1.998143037653319e-9,0.0,0.7904279444396396
8.214343584919427e-7,3.5766330463107963,7.153266092623728,2.133796944288521e-12,0.0,0.9999964233669537,0.08214158721096333,0.16428317767041317,3.2484864470178442e-9,0.0,0.7535752318701371
9.658832241158701e-7,3.7948367593186236,7.589673518640928,3.680765472953111e-12,0.0,0.9999962051632407,0.09658592542794776,0.19317185613712654,5.281230873702061e-9,0.0,0.7102422131536948
1.1357333583431054e-6,4.088107357594137,8.176214715194709,6.446407924482419e-12,0.0,0.9999959118926424,0.11357018773684371,0.22714038405964676,8.585959236233666e-9,0.0,0.6592894196175503
1.3354515629298988e-6,4.49671426328645,8.993428526584431,1.1528149152641074e-11,0.0,0.9999955032857367,0.13354097545565274,0.26708196486991065,1.3958604957997636e-8,0.0,0.5993770457158317
1.5702901247293773e-6,5.095609463350211,10.19121892672166,2.12377205265095e-11,0.0,0.9999949043905366,0.15702340504672488,0.3140468327865942,2.2693144025578046e-8,0.0,0.5289297394735369
1.8464249428955437e-6,6.04174267633502,12.083485352710978,4.093816322853711e-11,0.0,0.9999939582573236,0.1846349027389966,0.36926984237122434,3.6893230785341525e-8,0.0,0.4460952179965482
2.1711179456945044e-6,7.729276915916913,15.458553831918978,8.514465063287316e-11,0.0,0.999992270723084,0.2171014084004755,0.434202876779774,5.997882262825515e-8,0.0,0.34869565484092785
2.552908068239517e-6,11.509208422225043,23.018416844656194,2.0611798173835188e-10,0.0,0.9999884907915778,0.25527635395211257,0.510552805414003,9.750977762629361e-8,0.0,0.23417074312410677
3.0018358135755894e-6,27.080567483048632,54.16113496688572,7.884496791856087e-10,0.0,0.999972919432517,0.3001621818913801,0.6003245223073468,1.585245860245695e-7,0.0,0.09951313727668708
3.52970730273065e-6,177111.47735103648,354222.9547097785,7.705547183743204e-6,0.0,0.8228885226489635,0.33333316274384167,0.6666665809007823,2.554131022970872e-7,0.0,9.42273741099295e-10
4.150404757850476e-6,556006.5225693684,1.112013045170147e6,3.140994151572244e-5,0.0,0.44399347743063167,0.33333308211630003,0.6666665409079346,3.7667533712864555e-7,0.0,3.0042814186969407e-10
4.880251583654431e-6,785072.9463079707,1.570145892674407e6,5.846597151138924e-5,0.0,0.21492705369202936,0.3333329870892517,0.6666664934381676,5.192596666655755e-7,0.0,2.1291406335473823e-10
5.738441648302394e-6,908420.3648086847,1.8168407297070986e6,8.97294497418815e-5,0.0,0.09157963519131529,0.3333328753287254,0.666666437572326,6.869148771894596e-7,0.0,1.840713258038543e-10
6.747544053110695e-6,966413.9369326774,1.9328278739915174e6,0.0001261633974352867,0.0,0.03358606306732259,0.33333274390984124,0.6666663718683914,8.840487117056664e-7,0.0,1.7305565535997784e-10
7.934096665797492e-6,989674.1709971593,1.9793483421631563e6,0.00016883679781442895,0.0,0.010325829002840625,0.33333258938123705,0.6666662946061177,1.1158436455007009e-6,0.0,1.6899968520338787e-10
9.329304026284684e-6,997419.6740522383,1.9948393483234204e6,0.0002189435269312408,0.0,0.002580325947761697,0.33333240768211575,0.6666662037572112,1.3883929819200546e-6,0.0,1.6769107902946704e-10
1.0969857978923835e-5,999494.323985793,1.9989886482494248e6,0.00027783963111862475,0.0,0.0005056760142069239,0.3333321940370017,0.6666660969348271,1.708860826769819e-6,0.0,1.6734432315549156e-10
1.2898902612533087e-5,999925.1294620463,1.999850259271184e6,0.00034709161664915763,0.0,7.487053795374177e-5,0.3333319428308304,0.6666659713317774,2.0856701198258545e-6,0.0,1.67272425800377e-10
1.5167168884709225e-5,999991.5629743651,1.9999831263772587e6,0.0004285290881683552,0.0,8.437025634910889e-6,0.3333316474618282,0.6666658236472819,2.528723628857188e-6,0.0,1.6726106184542037e-10
1.7834308769319092e-5,999998.7987034315,1.9999975979311627e6,0.0005242998080659802,0.0,1.2012965685537225e-6,0.3333313001684723,0.6666656500006044,3.0496636633162717e-6,0.0,1.6725993556773326e-10
2.097046401323233e-5,999999.3235547836,1.9999986477464964e6,0.0006369294031337157,0.0,6.764452163965373e-7,0.33333089182607306,0.6666654458294047,3.6621772622229367e-6,0.0,1.6725998099411022e-10
2.4658110758226026e-5,999999.3470744524,1.9999986949182942e6,0.0007693892856014783,0.0,6.529255475173912e-7,0.3333304117077295,0.6666652057702332,4.382354777794141e-6,0.0,1.6725947759988857e-10
2.899422853882877e-5,999999.3474829913,1.9999986958911582e6,0.0009251759562558864,0.0,6.525170087590126e-7,0.3333298472034874,0.6666649235181119,5.229111140690025e-6,0.0,1.6726005236256526e-10
3.409285069746813e-5,999999.3472495822,1.9999986956075688e6,0.0011084043303986315,0.0,6.527504178288623e-7,0.3333291834904571,0.6666645916615968,6.2246806860284064e-6,0.0,1.6726018395760395e-10
4.008806328898464e-5,999999.3469653804,1.999998695254679e6,0.0013239179341210808,0.0,6.530346196020886e-7,0.33332840314539586,0.6666642014890661,7.3951982776527655e-6,0.0,1.6726041264718234e-10
4.713753134116724e-5,999999.3466310626,1.9999986948395432e6,0.001577418221124421,0.0,6.53368937397758e-7,0.3333274856898261,0.6666637427612814,8.771381632368629e-6,0.0,1.672601924143809e-10
5.542664520663104e-5,999999.3462379151,1.9999986943514522e6,0.0018756216207264846,0.0,6.537620849123016e-7,0.3333264070560732,0.666663203444405,1.0389332261827687e-5,0.0,1.6725998465244552e-10
6.517339604882424e-5,999999.3457754682,1.9999986937773675e6,0.00222643159069801,0.0,6.542245318819084e-7,0.33332513896066884,0.6666625693967028,1.229147536831952e-5,0.0,1.6726007303186324e-10
7.66341086800746e-5,999999.3452315424,1.9999986931022524e6,0.0026391678167545893,0.0,6.547684576752033e-7,0.3333236481693093,0.666661824001023,1.4527662407589451e-5,0.0,1.672600093502322e-10
9.011018251665018e-5,999999.3445916997,1.9999986923082115e6,0.0031248119340254892,0.0,6.554083002985323e-7,0.33332189563496323,0.6666609477338501,1.7156463926684147e-5,0.0,1.672599369932897e-10
0.0001059560179277616,999999.3438391723,1.9999986913746458e6,0.003696301082556331,0.0,6.561608277833031e-7,0.33331983548774097,0.6666599176602388,2.0246684760073523e-5,0.0,1.6726021567390562e-10
0.00012458833642950082,999999.3429537443,1.9999986902764018e6,0.004368913269913289,0.0,6.570462556254597e-7,0.3333174138517241,0.6666587068422305,2.3879138785429546e-5,0.0,1.672599861144244e-10
0.00014649713983072864,999999.3419120883,1.9999986889848383e6,0.005160661530816543,0.0,6.580879117201732e-7,0.33331456746007426,0.6666572836464058,2.8148726260107563e-5,0.0,1.672598782769658e-10
0.00017225859653987856,999999.3406872664,1.9999986874673548e6,0.006092821897440218,0.0,6.593127335197124e-7,0.33331122203536173,0.6666556109340495,3.316686332907166e-5,0.0,1.6725968270722268e-10
0.00020255019392306664,999999.3392450216,1.999998685680586e6,0.0071905422762955805,0.0,6.60754978398792e-7,0.3333072903971516,0.6666536451149445,3.9064320644124246e-5,0.0,1.6725968176532205e-10
