t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
1.0000000000000001e-7,0.27786695719962723,0.5557339143992608,6.3172489393750305e-15,0.0,0.9999972213304281,0.009999692986286592,0.019999386095000408,1.2242722696945464e-10,0.0,0.9700009207962859
1.1758495540521568e-7,0.2793875008198603,0.5587750016397308,1.0250012148444997e-14,0.0,0.9999972061249919,0.011758182021150832,0.023516364241340806,1.9903914822560854e-10,0.0,0.9647254535384692
1.382622173764656e-7,0.28119674134294415,0.5623934826859048,1.6722688137503977e-14,0.0,0.9999971880325866,0.013825900478235715,0.027651801280063726,3.23592307367376e-10,0.0,0.9585222979181083
1.6257556664437941e-7,0.2833537778289033,0.5667075556578337,2.738142232771638e-14,0.0,0.9999971664622217,0.016257226169719207,0.03251445286552494,5.260865419750257e-10,0.0,0.9512283204386693
1.9116440753857023e-7,0.2859314013153034,0.5718628026306516,4.4928842325570334e-14,0.0,0.9999971406859868,0.01911609919925079,0.03823219925379595,8.552943856559248e-10,0.0,0.9426517006916588
2.2478058335487253e-7,0.2890182233577518,0.5780364467155807,7.732709590726495e-14,0.0,0.9999971098177665,0.022477703473826917,0.04495540833816181,1.390507992867268e-9,0.0,0.9325668867975032
2.6430814869741053e-7,0.2927333599782117,0.5854667199565703,1.4749898111905055e-13,0.0,0.9999970726664001,0.02643044389201074,0.05286089004465852,2.260637059747506e-9,0.0,0.9207086638026937
3.107866187782013e-7,0.29724926126739765,0.5944985225350389,2.4452294543712113e-13,0.0,0.9999970275073874,0.031078271232150685,0.06215654613956183,3.6752604777126736e-9,0.0,0.9067651789530271
3.654383070957256e-7,0.3027650181612679,0.605530036322923,3.883967492774346e-13,0.0,0.9999969723498183,0.03654341583444516,0.07308683764398959,5.9750992854072196e-9,0.0,0.8903697405464659
4.297004704320841e-7,0.3095381907637426,0.6190763815280987,6.145638920136948e-13,0.0,0.9999969046180924,0.04296960197350418,0.0859392136610909,9.714082570222937e-9,0.0,0.8710911746513224
5.05263106533568e-7,0.3179047926726736,0.6358095853463316,9.85001358086477e-13,0.0,0.9999968209520733,0.0505258274311065,0.10105167065497647,1.5792763531549407e-8,0.0,0.8484224861211536
5.941133984965034e-7,0.3283069566068981,0.6566139132154033,1.6068427237543995e-12,0.0,0.9999967169304339,0.05941080762987403,0.11882164093496939,2.567522136098228e-8,0.0,0.8217675257599352
6.985879746785247e-7,0.3413315110032339,0.6826630220091321,2.6634896947413445e-12,0.0,0.99999658668489,0.06985820114488091,0.13971644403145242,4.174169064531113e-8,0.0,0.7904253130819759
8.214343584919427e-7,0.3577641621325227,0.7155283242695124,4.4663571698031085e-12,0.0,0.9999964223583787,0.08214275392434936,0.16428557571054916,6.786185053467531e-8,0.0,0.753571602503251
9.658832241158701e-7,0.3797161346719557,0.7594322693521504,8.240139371933394e-12,0.0,0.9999962028386533,0.09658752249635862,0.19317515531955928,1.1032684214778596e-7,0.0,0.71023721185724
1.1357333583431054e-6,0.4103454282827905,0.8206908565802963,1.4716924162217776e-11,0.0,0.9999958965457171,0.1135723693309785,0.22714491802650782,1.7936455094761954e-7,0.0,0.6592825332779627
1.3354515629298988e-6,0.4527891143916458,0.9055782288089675,2.5676596421657115e-11,0.0,0.9999954721088561,0.13354394964322502,0.26708819088935387,2.9160290396203994e-7,0.0,0.5993675678645172
1.5702901247293773e-6,0.5120824878000262,1.0241649756454148,4.53613622840885e-11,0.0,0.999994879175122,0.15702745141708094,0.3140553769089089,4.740747471694905e-7,0.0,0.5289166975992631
1.8464249428955437e-6,0.6064952429539026,1.2129904859971956,8.939048619475316e-11,0.0,0.9999939350475704,0.18464038664310217,0.3692815440149179,7.707287137496054e-7,0.0,0.4460772986132662
2.1711179456945044e-6,0.8038514713567579,1.607702942915392,2.0187668292373618e-10,0.0,0.9999919614852865,0.21710878502948766,0.4342188230734189,1.2530144437852441e-6,0.0,0.3486711388826496
2.552908068239517e-6,1.145839170905095,2.2916783422370806,4.2688987376424926e-10,0.0,0.999988541608291,0.2552863140310236,0.5105746651516203,2.0370895732907014e-6,0.0,0.23413698372778285
3.0018358135755894e-6,3.135867171444291,6.271734344886339,1.997757506856741e-9,0.0,0.9999686413282856,0.30017502681943786,0.6003533654306489,3.311791773376411e-6,0.0,0.09946829595813989
3.52970730273065e-6,17726.505788173057,35453.01159245511,1.6108994869348472e-5,0.0,0.8227349421182695,0.3333297692059138,0.6666648743112378,5.335899410848771e-6,0.0,2.0583437535531727e-8
4.150404757850476e-6,55608.35195758478,111216.70398078587,6.561628215803403e-5,0.0,0.4439164804241522,0.3333280872273033,0.6666640434703432,7.869015737428068e-6,0.0,2.8661609671969243e-10
4.880251583654431e-6,78510.48556586368,157020.97125384933,0.00012212199196702777,0.0,0.21489514434136325,0.3333261015662275,0.6666630506544404,1.0847521986091688e-5,0.0,2.573460431892419e-10
5.738441648302394e-6,90842.05108491065,181684.10235723364,0.0001874123333811654,0.0,0.0915794891508935,0.3333237667806099,0.6666618832790073,1.4349717788431937e-5,0.0,2.225943087960495e-10
6.747544053110695e-6,96640.47408475004,193280.94843299597,0.00026349588704359617,0.0,0.03359525915249975,0.33332102148802023,0.6666605106393654,1.8467663325537924e-5,0.0,2.0928885372052176e-10
7.934096665797492e-6,98964.7959079332,197929.59216846767,0.0003526012898231168,0.0,0.010352040920667965,0.3333177935346089,0.6666588966651105,2.3309595893246022e-5,0.0,2.0438740041994383e-10
9.329304026284684e-6,99739.97572729755,199479.95191181233,0.0004572172154799858,0.0,0.0026002427270245543,0.333313998085605,0.6666569989414023,2.9002770192548194e-5,0.0,2.028001384208613e-10
1.0969857978923835e-5,99947.67585065193,199895.3522814725,0.0005801686773260933,0.0,0.0005232414934808194,0.3333095354016184,0.6666547675996193,3.569679638281465e-5,0.0,2.0237945440846911e-10
1.2898902612533087e-5,99990.8559113303,199981.71254737832,0.0007247177123873546,0.0,9.14408866969918e-5,0.33330428822405045,0.6666521440108794,4.356756277865976e-5,0.0,2.0229153623746183e-10
1.5167168884709225e-5,99997.66068955684,199995.32227378557,0.0008946719117799903,0.0,2.3393104431612688e-5,0.33329811870250725,0.6666490592501151,5.282184510070826e-5,0.0,2.02276957011506e-10
1.7834308769319092e-5,99998.60080893473,199997.2027123673,0.0010944978209357994,0.0,1.3991910652738637e-5,0.3332908647847301,0.6666454322912279,6.370272176781483e-5,0.0,2.0227419355635119e-10
2.097046401323233e-5,99998.60451340581,199997.2103562551,0.0013294434614746682,0.0,1.3954865941967487e-5,0.3332823359757388,0.666641167886733,7.649593525536906e-5,0.0,2.0227276793891458e-10
2.4658110758226026e-5,99998.64622651815,199997.29405871357,0.0016056772660894179,0.0,1.3537734818575009e-5,0.3332723083569018,0.6666361540773152,9.153736351169164e-5,0.0,2.0227125927159157e-10
2.899422853882877e-5,99998.63207013189,199997.26607071326,0.0019304494342740222,0.0,1.3679298681151808e-5,0.33326051873700596,0.6666302592673677,0.00010922179335624697,0.0,2.022701048537759e-10
3.409285069746813e-5,99998.63721189974,199997.27673607992,0.0023122811865141073,0.0,1.3627881002703512e-5,0.33324665778572277,0.6666233287917281,0.00013001322028139594,0.0,2.0226775077980888e-10
4.008806328898464e-5,99998.64088148517,199997.28452415596,0.0027611867458823243,0.0,1.3591185148292828e-5,0.3332303619747013,0.6666151808862182,0.00015445693681518776,0.0,2.0226538936037215e-10
4.713753134116724e-5,99998.63849934144,199997.28028761677,0.003288933810064423,0.0,1.3615006585615541e-5,0.33321120412236976,0.6666056019600518,0.00018319371531544612,0.0,2.0226292643250703e-10
5.542664520663104e-5,99998.63502542075,199997.2739601917,0.0039093490250010346,0.0,1.36497457925433e-5,0.33318868230487586,0.6665943410513058,0.00021697644155819926,0.0,2.0226016808665495e-10
6.517339604882424e-5,99998.63705851912,199997.27875571398,0.004638676079445063,0.0,1.3629414808841167e-5,0.3331622068568533,0.6665811033272914,0.00025668961359874223,0.0,2.0225650662749825e-10
7.66341086800746e-5,99998.63731617692,199997.28012834798,0.005495995253614878,0.0,1.3626838230862415e-5,0.3331310851412513,0.6665655424694867,0.0003033721870094065,0.0,2.0225262897842836e-10
9.011018251665018e-5,99998.63704267306,199997.28058905958,0.006503714653211754,0.0,1.3629573269446915e-5,0.3330945037169176,0.6665472517573311,0.00035824432350382276,0.0,2.0224746064088223e-10
