t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
1.0000000000000001e-7,0.27786695719956434,0.5557339143992606,6.317248834866883e-15,0.0,0.9999972213304281,0.00999969176589042,0.01999938609500041,1.224272277350491e-10,1.2203961714721076e-9,0.9700009207962859
1.1758495540521568e-7,0.2793875008197734,0.5587750016397307,1.0250011855002699e-14,0.0,0.9999972061249919,0.01175818033379039,0.023516364241340817,1.9903914603522135e-10,1.6873604464257182e-9,0.9647254535384692
1.382622173764656e-7,0.28119674134282363,0.5623934826859048,1.6722687112445025e-14,0.0,0.9999971880325866,0.013825898145237749,0.027651801280063754,3.2359229191074966e-10,2.3329979834290927e-9,0.9585222979181083
1.6257556664437941e-7,0.28335377782873583,0.5667075556578339,2.7381419414676804e-14,0.0,0.9999971664622217,0.016257222944045722,0.032514452865525005,5.260864911547506e-10,3.2256735379924704e-9,0.9512283204386692
1.9116440753857023e-7,0.28593140131506967,0.5718628026306517,4.492883524597485e-14,0.0,0.9999971406859868,0.019116094739341123,0.038232199253796104,8.552942558011222e-10,4.4599097990461335e-9,0.9426517006916587
2.2478058335487253e-7,0.2890182233574215,0.5780364467155813,7.732707162257416e-14,0.0,0.9999971098177665,0.022477697307431314,0.044955408338162195,1.3905076140445783e-9,6.166395977669948e-9,0.932566886797503
2.6430814869741053e-7,0.29273335997773015,0.5854667199565722,1.4749889175009583e-13,0.0,0.9999970726664001,0.0264304353661859,0.05286089004465962,2.2606359670327722e-9,8.52582592318716e-9,0.9207086638026925
3.107866187782013e-7,0.2972492612667143,0.594498522535042,2.4452280191895184e-13,0.0,0.9999970275073874,0.031078259444121053,0.06215654613956347,3.675258836650932e-9,1.1788031259298875e-8,0.9067651789530254
3.654383070957256e-7,0.30276501816031093,0.6055300363229271,3.883965537446803e-13,0.0,0.9999969723498184,0.03654339953601282,0.07308683764399176,5.9750971159699824e-9,1.6298434493721824e-8,0.8903697405464638
4.297004704320841e-7,0.3095381907624075,0.6190763815281041,6.145636200814149e-13,0.0,0.9999969046180924,0.04296957943888288,0.085939213661094,9.714079475367791e-9,2.2534624376662762e-8,0.8710911746513192
5.05263106533568e-7,0.3179047926708067,0.6358095853463392,9.850009242754884e-13,0.0,0.9999968209520733,0.050525796274186324,0.10105167065498186,1.5792758171970347e-8,3.115692551227246e-8,0.8484224861211481
5.941133984965034e-7,0.32830695660426995,0.6566139132154161,1.6068419171142604e-12,0.0,0.9999967169304339,0.05941076455156796,0.11882164093498028,2.5675210482476707e-8,4.3078316933239214e-8,0.8217675257599243
6.985879746785247e-7,0.3413315109994977,0.6826630220091565,2.6634880626706937e-12,0.0,0.99999658668489,0.06985814158380128,0.13971644403147576,4.1741667330300565e-8,5.9561102921088766e-8,0.7904253130819526
8.214343584919427e-7,0.35776416212714895,0.7155283242695619,4.466353812978164e-12,0.0,0.9999964223583787,0.08214267157382678,0.16428557571059862,6.786180112477441e-8,8.235057197698666e-8,0.7535716025032013
9.658832241158701e-7,0.3797161346639187,0.7594322693523088,8.240131147444822e-12,0.0,0.9999962028386534,0.0965874086366633,0.193175155319659,1.1032674244321892e-7,1.1385979499776876e-7,0.7102372118571403
1.1357333583431054e-6,0.4103454282706677,0.8206908565806407,1.471690754901936e-11,0.0,0.9999958965457173,0.11357221190602905,0.2271449180266929,1.79364365931171e-7,1.5742513444374328e-7,0.6592825332777776
1.3354515629298988e-6,0.4527891143733606,0.9055782288096479,2.5676564094666264e-11,0.0,0.9999954721088563,0.13354373198407124,0.2670881908897012,2.916025567434363e-7,2.1765950097239554e-7,0.5993675678641698
1.5702901247293773e-6,0.5120824877721813,1.0241649756468334,4.536129654134415e-11,0.0,0.9999948791751223,0.15702715047696858,0.3140553769095794,4.7407407675072035e-7,3.009407827553791e-7,0.5289166975985925
1.8464249428955437e-6,0.6064952429091388,1.2129904860018037,8.939032782743459e-11,0.0,0.999993935047571,0.1846399705572611,0.3692815440162231,7.707274086934821e-7,4.160871461327423e-7,0.446077298611961
2.1711179456945044e-6,0.8038514712758869,1.6077029429321088,2.0187626259649067e-10,0.0,0.9999919614852872,0.21710820974125503,0.43421882307590143,1.2530119613132448e-6,5.752907151499816e-7,0.3486711388801671
2.552908068239517e-6,1.1458391707602595,2.291678342280987,4.2688887411874764e-10,0.0,0.9999885416082924,0.25528551862746107,0.5105746651563692,2.0370848243482482e-6,7.954083116076577e-7,0.2341369837230338
3.0018358135755894e-6,3.1358671711660717,6.271734345635492,1.9977519254512968e-9,0.0,0.9999686413282883,0.3001739270827898,0.6003533654397466,3.311782674899109e-6,1.0997457468738773e-6,0.09946829594904184
3.52970730273065e-6,17726.50578986845,35453.01160521197,1.6108944134513295e-5,0.0,0.8227349421013155,0.3333282534079684,0.666664874313546,5.335882123020531e-6,1.5158129207094092e-6,2.0583441773595645e-8
4.150404757850476e-6,55608.351951829674,111216.70400467067,6.561604867065681e-5,0.0,0.44391648048170335,0.3333260664343675,0.6666640434636969,7.868985011385725e-6,2.0208303095889678e-6,2.866145532803964e-10
4.880251583654431e-6,78510.48555322741,157020.97129030392,0.00012212148211351748,0.0,0.21489514446772592,0.3333234869877185,0.6666630506339875,1.0847470549541341e-5,2.614650399656779e-6,2.5734482873542497e-10
5.738441648302394e-6,90842.05106573403,181684.10240868686,0.00018741139325620187,0.0,0.09157948934265969,0.3333204540169701,0.6666618832377955,1.4349635212133513e-5,3.3128874295032e-6,2.225927668746365e-10
6.747544053110695e-6,96640.47405655988,193280.94849771983,0.0002634942801900061,0.0,0.03359525943440134,0.3333168877877216,0.6666605105674874,1.846753474970389e-5,4.133900753568078e-6,2.0928768186653286e-10
7.934096665797492e-6,98964.79587426235,197929.59225814277,0.0003525986666945094,0.0,0.010352041257376543,0.33331269456951035,0.6666588965485246,2.330940025517892e-5,5.099277323876233e-6,2.0438592566273783e-10
9.329304026284684e-6,99739.97568358816,199479.95202324947,0.0004572130705769259,0.0,0.0026002431641185264,0.3333077641602285,0.6666569987602878,2.9002477762726466e-5,6.234398922423497e-6,2.0279856871719114e-10
1.0969857978923835e-5,99947.67579598009,199895.35242003953,0.0005801622885851824,0.0,0.0005232420401991844,0.33330196699717357,0.6666547673260953,3.569636534256531e-5,7.569109011399901e-6,2.0237722043360963e-10
1.2898902612533087e-5,99990.85584348488,199981.7127172358,0.0007247080559252356,0.0,9.144156515122903e-5,0.3332951507607358,0.6666521436058357,4.356693447011359e-5,9.138496669387344e-6,2.0228901714961823e-10
1.5167168884709225e-5,99997.66060641715,199995.32248081407,0.000894657542643486,0.0,2.339393582850846e-5,0.3332871363833341,0.6666490586588195,5.282093743807413e-5,1.0983818134479354e-5,2.0227386044709215e-10
1.7834308769319092e-5,99998.60070829053,199997.20296405337,0.0010944767071687726,0.0,1.39929170947517e-5,0.3332777133603363,0.6666454314372323,6.370142010314786e-5,1.3153580057667122e-5,2.0227057678665278e-10
2.097046401323233e-5,99998.60439194938,199997.21065998258,0.0013294127535092527,0.0,1.3956080506249968e-5,0.3332666342418078,0.6666411666634302,7.64940797212459e-5,1.5704812772189433e-5,2.0226855573215931e-10
2.4658110758226026e-5,99998.64608059796,199997.29442363748,0.0016056329772198607,0.0,1.3539194020500966e-5,0.3332536081631913,0.6666361523362416,9.1534731488953e-5,1.870456681205807e-5,2.022660886809378e-10
2.899422853882877e-5,99998.63189544194,199997.2665075682,0.0019303859974747863,0.0,1.3681045580721252e-5,0.33323829324884774,0.6666302568020027,0.00010921807519775362,2.2231671687895457e-5,2.0226383785689893e-10
3.409285069746813e-5,99998.63700339981,199997.2772575277,0.0023121908405321786,0.0,1.3629966001960092e-5,0.33322028769427064,0.6666233253150685,0.0001300079857080747,2.637880269230667e-5,2.0226040261991365e-10
4.008806328898464e-5,99998.6406332383,199997.2851450539,0.002761058684505128,0.0,1.3593667616967897e-5,0.3331991193001761,0.6666151759997295,0.00015444958841334707,3.125490942416167e-5,2.0225687137343787e-10
4.713753134116724e-5,99998.63820436868,199997.28102542544,0.0032887530056336296,0.0,1.3617956313299873e-5,0.3331742331938569,0.6666055951107094,0.0001831834242005331,3.6988068980303754e-5,2.0225280947776128e-10
5.542664520663104e-5,99998.63467552688,199997.27483544563,0.003909094599468185,0.0,1.3653244731320902e-5,0.33314497742962956,0.6665943314721537,0.00021696205838717198,4.372883758131894e-5,2.0224820119839988e-10
6.517339604882424e-5,99998.63664407759,199997.27979255436,0.0046383190498958116,0.0,1.3633559224207614e-5,0.33311058611000394,0.6665810899552183,0.00025666954551301167,5.165418702269924e-5,2.0224215455545008e-10
7.66341086800746e-5,99998.63682587331,199997.2813551339,0.0054954954150759835,0.0,1.3631741266895148e-5,0.33307015961172937,0.6665655238314742,0.0003033442275047201,6.097212705644019e-5,2.0223531319230785e-10
9.011018251665018e-5,99998.63646321508,199997.28203910933,0.006503016269656552,0.0,1.3635367849262892e-5,0.3330226414354157,0.666547225813164,0.0003582054172678908,7.192713192524698e-5,2.0222720455945632e-10
0.0001059560179277616,99998.63551932412,199997.28180770032,0.00768717078738575,0.0,1.3644806758916772e-5,0.33296679112337046,0.6665257175612868,0.00042268460397199974,8.480650915311043e-5,2.022176682966179e-10
0.00012458833642950082,99998.63414842299,199997.28101251865,0.009078814276155837,0.0,1.3658515770065272e-5,0.3329011526071013,0.6665004374086348,0.0004984619103318852,9.994787172555167e-5,2.0220642213853324e-10
0.00014649713983072864,99998.63291432908,199997.28083184946,0.010714149485318004,0.0,1.367085670930801e-5,0.3328240172537306,0.6664707260066098,0.0005875086360661433,0.00011774790140001211,2.0219333238952197e-10
0.00017225859653987856,99998.63233129428,199997.28235361035,0.012635637054887714,0.0,1.3676687057179171e-5,0.3327333807804532,0.6664358095625048,0.000692136833385238,0.00013867262147859887,2.0217812745693987e-10
0.00020255019392306664,99998.63107855382,199997.28300591686,0.014893054816802663,0.0,1.3689214461848342e-5,0.33262689309292626,0.666394780284613,0.0008150569875417296,0.00016326943275911013,2.0215993923365996e-10
0.00023816855519761583,99998.62959492578,199997.28374800523,0.017544727686361908,0.0,1.370405074224701e-5,0.3325017999993536,0.6663465736061995,0.000959444986345569,0.00019218120596274023,2.0213857156040418e-10
0.0002800503894183631,99998.62783796262,199997.28459054782,0.020658952219012677,0.0,1.3721620373829957e-5,0.3323548756341386,0.6662899417043338,0.0011290196897438204,0.00022616276966997583,2.0211388004854822e-10
